tank,date_time,o2_do_mg_l,temp_deg_c
1,2022-06-21T05:30:00Z,1.79,22.722222222222225
2,2022-06-21T05:30:00Z,1.09,28.22222222222222
3,2022-06-21T05:30:00Z,0.5,24.66666666666667
4,2022-06-21T05:30:00Z,1.05,25.61111111111111
5,2022-06-21T05:30:00Z,0.8,24.94444444444445
6,2022-06-21T05:30:00Z,0.66,24.66666666666667
7,2022-06-21T05:30:00Z,0.94,24.388888888888893
8,2022-06-21T05:30:00Z,3.2,24.833333333333336
9,2022-06-21T05:30:00Z,2.3,24.555555555555557
10,2022-06-21T05:30:00Z,1.08,24.94444444444445
11,2022-06-21T05:30:00Z,1.98,24.000000000000004
12,2022-06-21T05:30:00Z,4.01,29.055555555555554
13,2022-06-21T05:30:00Z,1.8,23.88888888888889
14,2022-06-21T05:30:00Z,2.6,24.88888888888889
15,2022-06-21T05:30:00Z,1.3,23.666666666666664
16,2022-06-21T05:30:00Z,1.3,29.000000000000004
17,2022-06-21T05:30:00Z,2.6,23.5
18,2022-06-21T05:30:00Z,2.1,23.666666666666664
19,2022-06-21T05:30:00Z,4.1,22.833333333333332
20,2022-06-21T05:30:00Z,1.8,26.555555555555554
21,2022-06-21T05:30:00Z,3,24.000000000000004
22,2022-06-21T05:30:00Z,2,28.000000000000004
23,2022-06-21T05:30:00Z,4.5,23.388888888888886
24,2022-06-21T05:30:00Z,5.3,25.777777777777782
1,2022-06-21T06:30:00Z,0.88,22.38888888888889
2,2022-06-21T06:30:00Z,1.06,28.000000000000004
3,2022-06-21T06:30:00Z,0.6,23.83333333333334
4,2022-06-21T06:30:00Z,1.1,24.88888888888889
5,2022-06-21T06:30:00Z,0.99,24.277777777777782
6,2022-06-21T06:30:00Z,0.71,26.222222222222225
7,2022-06-21T06:30:00Z,1.05,23.61111111111111
8,2022-06-21T06:30:00Z,3.6,24.444444444444446
9,2022-06-21T06:30:00Z,2.51,23.77777777777778
10,2022-06-21T06:30:00Z,1.17,24.499999999999996
11,2022-06-21T06:30:00Z,2.27,23.388888888888886
12,2022-06-21T06:30:00Z,4.06,28.77777777777778
13,2022-06-21T06:30:00Z,2.03,23.277777777777782
14,2022-06-21T06:30:00Z,2.66,24.61111111111111
15,2022-06-21T06:30:00Z,1.44,23.000000000000004
16,2022-06-21T06:30:00Z,1.32,28.61111111111111
17,2022-06-21T06:30:00Z,3.01,22.722222222222225
18,2022-06-21T06:30:00Z,2.22,23.61111111111111
19,2022-06-21T06:30:00Z,4.41,22.277777777777775
20,2022-06-21T06:30:00Z,1.9,26
21,2022-06-21T06:30:00Z,3.05,23.388888888888886
22,2022-06-21T06:30:00Z,2.17,27.611111111111114
23,2022-06-21T06:30:00Z,4.8,22.666666666666668
24,2022-06-21T06:30:00Z,4.9,25.61111111111111
1,2022-06-21T07:30:00Z,0.6,21.72222222222222
2,2022-06-21T07:30:00Z,1.3,28.77777777777778
3,2022-06-21T07:30:00Z,0.9,23.666666666666664
4,2022-06-21T07:30:00Z,0.9,24.66666666666667
5,2022-06-21T07:30:00Z,1.13,23.83333333333334
6,2022-06-21T07:30:00Z,0.8,26.27777777777778
7,2022-06-21T07:30:00Z,0.98,23.22222222222222
8,2022-06-21T07:30:00Z,3.45,24.333333333333332
9,2022-06-21T07:30:00Z,2.7,23.444444444444446
10,2022-06-21T07:30:00Z,1.5,24.277777777777782
11,2022-06-21T07:30:00Z,2.7,22.944444444444443
12,2022-06-21T07:30:00Z,4.1,28.5
13,2022-06-21T07:30:00Z,2.8,21.666666666666668
14,2022-06-21T07:30:00Z,3.06,24.555555555555557
15,2022-06-21T07:30:00Z,2.1,22.666666666666668
16,2022-06-21T07:30:00Z,1.6,28.5
17,2022-06-21T07:30:00Z,3.5,22.44444444444445
18,2022-06-21T07:30:00Z,2.5,23.666666666666664
19,2022-06-21T07:30:00Z,5.1,21.888888888888893
20,2022-06-21T07:30:00Z,2.3,25.777777777777782
21,2022-06-21T07:30:00Z,3.8,22.888888888888893
22,2022-06-21T07:30:00Z,2.7,27.38888888888889
23,2022-06-21T07:30:00Z,5.36,22.277777777777775
24,2022-06-21T07:30:00Z,4.8,25.61111111111111
1,2022-06-21T08:30:00Z,1.04,20.833333333333336
2,2022-06-21T08:30:00Z,1.77,28.388888888888886
3,2022-06-21T08:30:00Z,1.5,23.944444444444443
4,2022-06-21T08:30:00Z,2.3,24.88888888888889
5,2022-06-21T08:30:00Z,2.1,24.055555555555554
6,2022-06-21T08:30:00Z,1.3,26.72222222222222
7,2022-06-21T08:30:00Z,1.9,23.22222222222222
8,2022-06-21T08:30:00Z,4.7,24.444444444444446
9,2022-06-21T08:30:00Z,1,23.55555555555556
10,2022-06-21T08:30:00Z,2.6,25.166666666666668
11,2022-06-21T08:30:00Z,3.3,23.11111111111111
12,2022-06-21T08:30:00Z,4.6,28.666666666666664
13,2022-06-21T08:30:00Z,3.52,23.22222222222222
14,2022-06-21T08:30:00Z,4.1,24.94444444444445
15,2022-06-21T08:30:00Z,4,22.944444444444443
16,2022-06-21T08:30:00Z,3.3,29.000000000000004
17,2022-06-21T08:30:00Z,4.7,22.666666666666668
18,2022-06-21T08:30:00Z,3.4,24.277777777777782
19,2022-06-21T08:30:00Z,6.7,22.055555555555557
20,2022-06-21T08:30:00Z,2.8,26
21,2022-06-21T08:30:00Z,4.3,23.055555555555557
22,2022-06-21T08:30:00Z,4.1,27.77777777777778
23,2022-06-21T08:30:00Z,6.2,22.44444444444445
24,2022-06-21T08:30:00Z,6.7,26
1,2022-06-21T14:00:00Z,10.5,24.499999999999996
2,2022-06-21T14:00:00Z,13.1,30.111111111111114
3,2022-06-21T14:00:00Z,11.6,27.44444444444445
4,2022-06-21T14:00:00Z,12.2,29.055555555555554
5,2022-06-21T14:00:00Z,11.9,27.5
6,2022-06-21T14:00:00Z,8.4,28.722222222222225
7,2022-06-21T14:00:00Z,9.8,26.999999999999996
8,2022-06-21T14:00:00Z,11,27.44444444444445
